anchor_left (0),anchor_right (100),clue,target,response_list,response_mean,difference,category,,,,,
Colorless,Colorful,Sunset,31,"78, 64, 70, 90, 88",78,47,Objective,,,,,
Colorless,Colorful,Disco ball,98,"73, 81, 79, 72, 78",76.6,21.4,Objective,,,,,
Colorless,Colorful,Pastel drawing,26,"68, 50, 69, 70, 72",65.8,39.8,Objective,,,,,
Colorless,Colorful,Parrot,55,"84, 73, 73, 92, 92",82.8,27.8,Objective,,,,,
Colorless,Colorful,Rainbow,65,"96, 90, 99, 98, 99",96.4,31.4,Objective,,,,,
Colorless,Colorful,Sand,19,"27, 11, 38, 15, 12",20.6,1.6,Objective,,,,,
Colorless,Colorful,Paint explosion,95,"97, 89, 95, 95, 97",94.6,0.4,Objective,,,,,
Colorless,Colorful,Stained glass,48,"83, 77, 91, 93, 95",87.8,39.8,Objective,,,,,
Colorless,Colorful,Neon lights,71,"83, 93, 84, 90, 92",88.4,17.4,Objective,,,,,
Colorless,Colorful,Spring garden,35,"73, 60, 80, 88, 88",77.8,42.8,Objective,,,,,
Colorless,Colorful,Wildflowers,42,"69, 71, 86, 90, 90",81.2,39.2,Objective,,,,,
Colorless,Colorful,Ash,7,"15, 1, 4, 5, 5",6,1,Objective,,,,,
Colorless,Colorful,Tropical fruit,82,"74, 80, 73, 88, 88",80.6,1.4,Objective,,,,,
Colorless,Colorful,Beige wall,20,"21, 18, 39, 12, 10",20,0,Objective,,,,,
Colorless,Colorful,Kaleidoscope,60,"70, 93, 85, 97, 98",88.6,28.6,Objective,,,,,
Colorless,Colorful,Carnival,63,"76, 74, 78, 90, 92",82,19,Objective,,,,,
Colorless,Colorful,Aurora borealis,100,"77, 86, 89, 95, 95",88.4,11.6,Objective,,,,,
Colorless,Colorful,Autumn leaves,32,"62, 45, 73, 85, 85",70,38,Objective,,,,,
Colorless,Colorful,Watercolor,28,"68, 69, 65, 80, 80",72.4,44.4,Objective,,,,,
Colorless,Colorful,Tie-dye,67,"85, 86, 82, 95, 95",88.6,21.6,Objective,,,,,
Colorless,Colorful,Colored powder,95,"81, 90, 76, 97, 95",87.8,7.2,Objective,,,,,
Colorless,Colorful,Silver,13,"30, 3, 46, 10, 12",20.2,7.2,Objective,,,,,
Colorless,Colorful,Holi festival,75,"76, 94, 93, 98, 98",91.8,16.8,Objective,,,,,
Colorless,Colorful,Confetti,65,"73, 82, 87, 88, 92",84.4,19.4,Objective,,,,,
Colorless,Colorful,Prism,97,"80, 90, 94, 92, 90",89.2,7.8,Objective,,,,,
Colorless,Colorful,Pop art,85,"73, 82, 86, 90, 90",84.2,0.8,Objective,,,,,
Colorless,Colorful,Peacock,61,"81, 68, 84, 93, 93",83.8,22.8,Objective,,,,,
Colorless,Colorful,Neon carnival,94,"82, 90, 81, 95, 96",88.8,5.2,Objective,,,,,
Colorless,Colorful,Shadow,6,"0, 0, 1, 5, 5",2.2,3.8,Objective,,,,,
Colorless,Colorful,X-ray,2,"11, 1, 4, 3, 5",4.8,2.8,Objective,,,,,
Colorless,Colorful,Flower market,77,"74, 85, 70, 90, 90",81.8,4.8,Objective,,,,,
Colorless,Colorful,Coral reef,72,"70, 78, 85, 92, 92",83.4,11.4,Objective,,,,,
Colorless,Colorful,Newspaper,3,"25, 17, 21, 8, 8",15.8,12.8,Objective,,,,,
Colorless,Colorful,Concrete wall,7,"20, 3, 9, 8, 5",9,2,Objective,,,,,
Colorless,Colorful,Fog,10,"19, 2, 6, 10, 8",9,1,Objective,,,,,
Colorless,Colorful,Tan,20,"27, 45, 21, 15, 12",24,4,Objective,,,,,
Colorless,Colorful,Chalk drawing,16,"54, 50, 66, 70, 70",62,46,Objective,,,,,
Colorless,Colorful,Mural,67,"69, 70, 83, 88, 88",79.6,12.6,Objective,,,,,
Colorless,Colorful,Fireworks,63,"86, 77, 92, 95, 93",88.6,25.6,Objective,,,,,
Colorless,Colorful,Storm cloud,11,"22, 10, 15, 10, 8",13,2,Objective,,,,,
Colorless,Colorful,Psychedelic visions,91,"80, 90, 95, 97, 97",91.8,0.8,Objective,,,,,
Colorless,Colorful,Tropical fish,47,"74, 79, 88, 93, 92",85.2,38.2,Objective,,,,,
Colorless,Colorful,Mosaic,55,"79, 71, 83, 88, 88",81.8,26.8,Objective,,,,,
Colorless,Colorful,Festival flags,71,"74, 65, 79, 85, 92",79,8,Objective,,,,,
Soft,Hard,Tempered glass,96,"837, 90, 92, 92",277.75,181.75,Objective,,,,,
Soft,Hard,Shoe sole,45,"73, 61, 72, 68, 65",67.8,22.8,Objective,,,,,
Soft,Hard,Pillow,14,"13, 6, 6, 5, 5",7,7,Objective,,,,,
Soft,Hard,Rebar,97,"85, 82, 93, 95, 95",90,7,Objective,,,,,
Soft,Hard,Hockey puck,60,"76, 77, 72, 88, 90",80.6,20.6,Objective,,,,,
Soft,Hard,Felt,30,"23, 8, 21, 10, 10",14.4,15.6,Objective,,,,,
Soft,Hard,Hard cheese,40,"55, 39, 68, 78, 72",62.4,22.4,Objective,,,,,
Soft,Hard,Play-Doh,27,"21, 9, 32, 20, 20",20.4,6.6,Objective,,,,,
Soft,Hard,Hardwood floor,65,"75, 85, 76, 85, 88",81.8,16.8,Objective,,,,,
Soft,Hard,Diamond plate,92,"99, 100, 99, 93, 95",97.2,5.2,Objective,,,,,
Soft,Hard,Diamond,100,"100, 100,, 100, 99, 99",99.6,0.4,Objective,,,,,
Soft,Hard,Bone,66,"87, 75, 81, 88, 88",83.8,17.8,Objective,,,,,
Soft,Hard,Dense rubber,68,"56, 70, 78, 65, 60",65.8,2.2,Objective,,,,,
Soft,Hard,Ripe banana,33,"26, 15, 10, 15, 18",16.8,16.2,Objective,,,,,
Soft,Hard,Solid iron,97,"95, 87, 92, 95, 97",93.2,3.8,Objective,,,,,
Soft,Hard,Soft cheese,27,"30, 6, 23, 12, 15",17.2,9.8,Objective,,,,,
Soft,Hard,Solid oak,68,"84, 67, 80, 88, 88",81.4,13.4,Objective,,,,,
Soft,Hard,Wool,13,"21, 13, 12, 8, 12",13.2,0.2,Objective,,,,,
Soft,Hard,Compressed cork,61,"63, 78, 71, 55, 55",64.4,3.4,Objective,,,,,
Soft,Hard,Solid steel,85,"92, 91, 92, 97, 98",94,9,Objective,,,,,
Soft,Hard,Marble slab,86,"93, 94, 90, 93, 95",93,7,Objective,,,,,
Soft,Hard,Granite,83,"90, 94, 91, 95, 96",93.2,10.2,Objective,,,,,
Soft,Hard,Dry sand,38,"26, 38, 21, 40, 35",32,6,Objective,,,,,
Soft,Hard,Sponge,22,"32, 15, 28, 8, 10",18.6,3.4,Objective,,,,,
Soft,Hard,Steel rod,78,"86, 86, 92, 96, 97",91.4,13.4,Objective,,,,,
Soft,Hard,Cotton candy,0,"16, 2, 4, 3, 3",5.6,5.6,Objective,,,,,
Soft,Hard,Leather,38,"64, 41, 66, 62, 55",57.6,19.6,Objective,,,,,
Soft,Hard,Packed dirt,48,"59, 58, 75, 70, 65",65.4,17.4,Objective,,,,,
Soft,Hard,Tire rubber,48,"61, 60, 68, 72, 65",65.2,17.2,Objective,,,,,
Soft,Hard,Rubber,30,"42, 50, 44, 45, 40",44.2,14.2,Objective,,,,,
Soft,Hard,Titanium ingot,93,"90, 88, 95, 97, 98",93.6,0.6,Objective,,,,,
Soft,Hard,Cloud,13,"11, 1, 5, 2, 2",4.2,8.8,Objective,,,,,
Soft,Hard,Feather,6,"16, 1, 12, 3, 3",7,1,Objective,,,,,
Soft,Hard,Anvil,97,"89, 98, 92, 97, 97",94.6,2.4,Objective,,,,,
Soft,Hard,Cast iron,75,"88, 85, 89, 93, 95",90,15,Objective,,,,,
Soft,Hard,Memory foam,17,"21, 18, 22, 18, 15",18.8,1.8,Objective,,,,,
Soft,Hard,Thick cardboard,56,"57, 62, 59, 55, 50",56.6,0.6,Objective,,,,,
Soft,Hard,Scoop of ice cream,44,"28, 14, 31, 22, 18",22.6,21.4,Objective,,,,,
Soft,Hard,Modelling clay,36,"42, 12, 42, 25, 25",29.2,6.8,Objective,,,,,
Soft,Hard,Thick plastic,67,"49, 58, 60, 75, 75",63.4,3.6,Objective,,,,,
Soft,Hard,Thick glass,76,"70, 59, 74, 90, 92",77,1,Objective,,,,,
Soft,Hard,Concrete block,96,"86, 70, 91, 95, 96",87.6,8.4,Objective,,,,,
Soft,Hard,Marshmallow,6,"25, 5, 5, 3, 3",8.2,2.2,Objective,,,,,
Soft,Hard,Puffy jacket,26,"34, 17, 17, 8, 8",16.8,9.2,Objective,,,,,
Soft,Hard,Bread dough,26,"36, 10, 22, 15, 15",19.6,6.4,Objective,,,,,
Soft,Hard,Foam rubber,23,"21, 30, 38, 12, 12",22.6,0.4,Objective,,,,,
Soft,Hard,Softwood,37,"66, 55, 62, 55, 55",58.6,21.6,Objective,,,,,
Soft,Hard,Dense foam,49,"40, 50, 62, 35, 35",44.4,4.6,Objective,,,,,
Soft,Hard,Frozen meat,74,"77, 63, 89, 82, 85",79.2,5.2,Objective,,,,,
Soft,Hard,Soft plastic,43,"29, 47, 29, 30, 30",33,10,Objective,,,,,
Low calorie,High calorie,Wheat bread,42,"55, 20, 45, 48, 45",42.6,0.6,Objective,,,,,
Low calorie,High calorie,Burger,59,"75, 78, 84, 82, 82",80.2,21.2,Objective,,,,,
Low calorie,High calorie,Bell pepper,10,"13, 2, 5, 8, 8",7.2,2.8,Objective,,,,,
Low calorie,High calorie,Steamed fish,25,"21, 18, 25, 22, 22",21.6,3.4,Objective,,,,,
Low calorie,High calorie,Brown rice,36,"46, 21, 28, 45, 45",37,1,Objective,,,,,
Low calorie,High calorie,Cheesecake,65,"78, 86, 91, 90, 90",87,22,Objective,,,,,
Low calorie,High calorie,Carrot,19,"7, 2, 2, 8, 8",5.4,13.6,Objective,,,,,
Low calorie,High calorie,Deep dish pizza,76,"84, 87, 94, 92, 92",89.8,13.8,Objective,,,,,
Low calorie,High calorie,Loaded nachos,71,"80, 78, 91, 88, 90",85.4,14.4,Objective,,,,,
Low calorie,High calorie,Grilled chicken,33,"29, 23, 11, 35, 35",26.6,6.4,Objective,,,,,
Low calorie,High calorie,Grapefruit,20,"16, 3, 7, 10, 10",9.2,10.8,Objective,,,,,
Low calorie,High calorie,Dark chocolate,54,"43, 47, 55, 60, 72",55.4,1.4,Objective,,,,,
Low calorie,High calorie,Cream cake,95,"79, 73, 90, 88, 90",84,11,Objective,,,,,
Low calorie,High calorie,Milkshake,62,"87, 87, 95, 85, 85",87.8,25.8,Objective,,,,,
Low calorie,High calorie,Loaded milkshake,100,"94, 92, 98, 92, 95",94.2,5.8,Objective,,,,,
Low calorie,High calorie,Steak,46,"60, 35, 33, 65, 70",52.6,6.6,Objective,,,,,
Low calorie,High calorie,Ice cream,67,"75, 45, 82, 72, 78",70.4,3.4,Objective,,,,,
Low calorie,High calorie,Cheese,49,"64, 40, 69, 68, 72",62.6,13.6,Objective,,,,,
Low calorie,High calorie,Plain baked potato,43,"51, 21, 31, 30, 35",33.6,9.4,Objective,,,,,
Low calorie,High calorie,French fries,61,"80, 67, 74, 78, 78",75.4,14.4,Objective,,,,,
Low calorie,High calorie,Mushroom,22,"20, 2, 10, 8, 8",9.6,12.4,Objective,,,,,
Low calorie,High calorie,Granola bar,43,"51, 42, 51, 45, 45",46.8,3.8,Objective,,,,,
Low calorie,High calorie,Salmon,50,"55, 31, 39, 48, 45",43.6,6.4,Objective,,,,,
Low calorie,High calorie,Broth,4,"17, 5, 6, 10, 8",9.2,5.2,Objective,,,,,
Low calorie,High calorie,Donut,67,"79, 70, 88, 78, 80",79,12,Objective,,,,,
Low calorie,High calorie,Mac and cheese,61,"83, 65, 92, 82, 82",80.8,19.8,Objective,,,,,
Low calorie,High calorie,Boiled egg,22,"30, 12, 27, 25, 25",23.8,1.8,Objective,,,,,
Low calorie,High calorie,Peanut butter,52,"70, 70, 60, 80, 80",72,20,Objective,,,,,
Low calorie,High calorie,Pasta,45,"73, 60, 75, 62, 65",67,22,Objective,,,,,
Low calorie,High calorie,Tomato,15,"15, 2, 2, 8, 8",7,8,Objective,,,,,
Low calorie,High calorie,Celery,0,"5, 2, 1, 3, 2",2.6,2.6,Objective,,,,,
Low calorie,High calorie,Low-fat yogurt,23,"30, 9, 29, 18, 15",20.2,2.8,Objective,,,,,
Low calorie,High calorie,Avocado,48,"64, 30, 33, 55, 55",47.4,0.6,Objective,,,,,
Low calorie,High calorie,Lettuce,3,"4, 1, 1, 5, 3",2.8,0.2,Objective,,,,,
Low calorie,High calorie,Banana,39,"10, 12, 6, 25, 25",15.6,23.4,Objective,,,,,
Low calorie,High calorie,Cucumber,1,"7, 1, 3, 5, 3",3.8,2.8,Objective,,,,,
